編號,基金簡稱,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
312291,野村新興傘型之大俄羅斯基金,"6,000","6,000","6,000","24,000","12,000","16,000","15,000","15,000","15,000","15,000","15,000","15,000"
312291,野村新興傘型之中東非洲基金,,,,"9,000","9,000","12,000","6,000",,,,,
312291,野村歐洲中小成長基金-累積類型新臺幣計價,"6,000","9,000","6,000","6,000","9,000","9,000","9,000","12,000","9,000","15,000","18,000","21,000"
312291,野村環球基金-新臺幣計價,,,,,,"3,000","3,000","7,000","7,000","7,000","4,000","8,000"
312291,野村雙印傘型之印尼潛力基金,"6,000","6,000","9,000","9,000","24,000","16,000","18,000","18,000","21,000","21,000","18,000","18,000"
312291,野村雙印傘型之印度潛力基金,"6,000","6,000","6,000","6,000","6,000","6,000","3,000","3,000","3,000","9,000","6,000","6,000"
318090,野村多元收益平衡基金-月配類型新臺幣計價,"30,000","90,000","230,000","30,000","20,000","10,000","10,000",,,"10,000","10,000",
318258,野村台灣運籌基金,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000"
42308,野村中小基金-累積類型,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000"
42308,野村優質基金-累積類型新臺幣計價,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000"
5974,野村中小基金-累積類型,"6,000","12,000","6,000","6,000","6,000","6,000", -   ,,,,,
5974,野村中國機會基金,"5,000", -   ,"10,000","5,000","5,000","5,000","5,000","8,000","8,000","8,000","8,000","8,000"
5974,野村台灣運籌基金,"5,000","10,000","5,000","5,000","5,000","5,000", -   ,,,,,
5974,野村高科技基金,"5,000","10,000","5,000","5,000","5,000","5,000","5,000","25,000","35,000","50,000",,"3,000"
5974,野村環球高收益債基金-累積類型新臺幣計價,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","3,000"
5974,野村環球基金-新臺幣計價,,,,,,,,,"6,000","6,000","6,000","6,000"
5974,野村鴻運基金,,,,,,, -   ,,,,,
60001,野村中小基金-累積類型, -   ,,,,,,,,,,,
60001,野村中國機會基金, -   ,,,,"3,000","3,000", -   ,,,,,
60001,野村全球不動產證券化基金-累積型新臺幣計價,,,,, -   ,,,,,,,
60001,野村全球生技醫療基金,,,,,,, -   ,,,,,
60001,野村高科技基金,,,, -   , -   ,, -   ,,,,,
60001,野村優質基金-累積類型新臺幣計價,,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
60001,野村雙印傘型之印度潛力基金,"3,000","3,000",, -   ,,,,,,,,
98368,野村 e科技基金,,,,,,,"15,000","15,000","15,000","15,000","15,000","11,000"
98368,野村中小基金-累積類型,"15,000","215,000","115,000","215,000","15,000","70,000","75,000","260,000","15,000","215,000","15,000","15,000"
98368,野村中國機會基金,"15,000","15,000","15,000","15,000","15,000","15,000","11,000","9,000","9,000","9,000","9,000","9,000"
98368,野村台灣高股息基金,,, -   ,,,,,,,,,
98368,野村全球短期收益基金-新台幣計價,,, -   ,,,,,,,,,
98368,野村成長基金,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","11,000"
98368,野村新興收益傘型基金之中國境內新興債券基金-累積類型新臺幣計?,,,,,,,"200,000",,,,, -   
98368,野村優質基金-累積類型新臺幣計價,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
98368,野村雙印傘型之印度潛力基金,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
